Vernr,Bokföringsdatum,Registreringsdatum,Konto,Benämning,Ks,Projnr,Verifikationstext,Transaktionsinfo,Debet,Kredit
D15,2025-04-16,2025-04-24,5900,Reklam och PR (gruppkonto),,,Levfakt Printgroup Nordic / Walley (42),,"9013,40",
D16,2025-04-24,2025-04-25,2440,Leverantörsskulder,,,Levfakt Systrarna Sisters AB (43),,,"4659,00"
D16,2025-04-24,2025-04-25,2641,Debiterad ingående moms,,,Levfakt Systrarna Sisters AB (43),,"499,20",
D16,2025-04-24,2025-04-25,4000,Inköp av varor från Sverige,,,Levfakt Systrarna Sisters AB (43),,"4159,80",
D17,2025-04-22,2025-04-25,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (44),,,"2093,75"
D17,2025-04-22,2025-04-25,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (44),,"418,75",
D17,2025-04-22,2025-04-25,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (44),,"1675,00",
D18,2025-04-30,2025-05-06,2440,Leverantörsskulder,,,Levfakt Allegat (45),,,"4375,00"
D18,2025-04-30,2025-05-06,2641,Debiterad ingående moms,,,Levfakt Allegat (45),,"875,00",
D18,2025-04-30,2025-05-06,6530,Redovisningstjänster,,,Levfakt Allegat (45),,"3500,00",
D19,2025-05-02,2025-05-06,2440,Leverantörsskulder,,,Levfakt Pava Gruppen AB (48),,,"22196,00"
D19,2025-05-02,2025-05-06,2641,Debiterad ingående moms,,,Levfakt Pava Gruppen AB (48),,"2378,16",
D19,2025-05-02,2025-05-06,4000,Inköp av varor från Sverige,,,Levfakt Pava Gruppen AB (48),,"19817,84",
D20,2025-04-30,2025-05-06,2440,Leverantörsskulder,,,Levfakt Trinityreklam AB (47),,,"39433,00"
D20,2025-04-30,2025-05-06,2641,Debiterad ingående moms,,,Levfakt Trinityreklam AB (47),,"7886,63",
D20,2025-04-30,2025-05-06,4000,Inköp av varor från Sverige,,,Levfakt Trinityreklam AB (47),,"31546,37",
D21,2025-04-30,2025-05-06,2440,Leverantörsskulder,,,Levfakt Martin & servera Restaurangbutiker AB (46),,,"390,00"
D21,2025-04-30,2025-05-06,6990,Övriga externa kostnader,,,Levfakt Martin & servera Restaurangbutiker AB (46),,"390,00",
D22,2025-03-13,2025-05-07,2440,Leverantörsskulder,,,Levfakt Justnu AB (49),,,"4100,48"
D22,2025-03-13,2025-05-07,2641,Debiterad ingående moms,,,Levfakt Justnu AB (49),,"725,00",
D22,2025-03-13,2025-05-07,4000,Inköp av varor från Sverige,,,Levfakt Justnu AB (49),,"2900,00",
D22,2025-03-13,2025-05-07,6990,Övriga externa kostnader,,,Levfakt Justnu AB (49),,"450,00",
D22,2025-03-13,2025-05-07,8422,Dröjsmålsräntor för leverantörsskulder,,,Levfakt Justnu AB (49),,"25,48",
D23,2025-05-07,2025-05-18,2440,Leverantörsskulder,,,Levfakt Avanza (50),,,"2936,00"
D23,2025-05-07,2025-05-18,7410,Pensionsförsäkringspremier,,,Levfakt Avanza (50),,"2936,00",
D24,2025-05-05,2025-05-20,2440,Leverantörsskulder,,,Levfakt Worknode (51),,,"7900,00"
D24,2025-05-05,2025-05-20,2641,Debiterad ingående moms,,,Levfakt Worknode (51),,"1500,00",
D24,2025-05-05,2025-05-20,4000,Inköp av varor från Sverige,,,Levfakt Worknode (51),,"6400,00",
D25,2025-05-15,2025-05-20,2440,Leverantörsskulder,,,Levfakt Polytope (52),,,"1250,00"
D25,2025-05-15,2025-05-20,2641,Debiterad ingående moms,,,Levfakt Polytope (52),,"250,00",
D25,2025-05-15,2025-05-20,5420,Programvaror,,,Levfakt Polytope (52),,"1000,00",
D26,2025-05-26,2025-05-27,2440,Leverantörsskulder,,,Levfakt Talent Garden Denmark ApS (53),,,"55497,64"
D26,2025-05-26,2025-05-27,4000,Inköp av varor från Sverige,,,Levfakt Talent Garden Denmark ApS (53),,"55497,64",
D27,2025-05-26,2025-05-29,2440,Leverantörsskulder,,,Levfakt Fortnox (54),,,"539,00"
D27,2025-05-26,2025-05-29,2641,Debiterad ingående moms,,,Levfakt Fortnox (54),,"107,80",
D27,2025-05-26,2025-05-29,5420,Programvaror,,,Levfakt Fortnox (54),,"431,20",
D28,2025-05-31,2025-06-09,2440,Leverantörsskulder,,,Levfakt Allegat (55),,,"4375,00"
D28,2025-05-31,2025-06-09,2641,Debiterad ingående moms,,,Levfakt Allegat (55),,"875,00",
D28,2025-05-31,2025-06-09,6530,Redovisningstjänster,,,Levfakt Allegat (55),,"3500,00",
D29,2025-05-26,2025-06-09,2440,Leverantörsskulder,,,Levfakt Gourmet Catering (59),,,"4974,44"
D29,2025-05-26,2025-06-09,4000,Inköp av varor från Sverige,,,Levfakt Gourmet Catering (59),,"4974,44",
D30,2025-05-19,2025-06-09,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (58),,,"758,00"
D30,2025-05-19,2025-06-09,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (58),,"151,60",
D30,2025-05-19,2025-06-09,4000,Inköp av varor från Sverige,,,Levfakt Pokalhuset.se (58),,"606,40",
D31,2025-06-05,2025-06-09,2440,Leverantörsskulder,,,Levfakt Fortnox (57),,,"2419,00"
D31,2025-06-05,2025-06-09,2641,Debiterad ingående moms,,,Levfakt Fortnox (57),,"483,75",
D31,2025-06-05,2025-06-09,5420,Programvaror,,,Levfakt Fortnox (57),,"1935,25",
D32,2025-05-19,2025-06-09,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (56),,,"2775,00"
D32,2025-05-19,2025-06-09,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (56),,"555,00",
D32,2025-05-19,2025-06-09,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (56),,"2220,00",
D33,2025-06-09,2025-06-16,2440,Leverantörsskulder,,,Levfakt Avanza (61),,,"1468,00"
D33,2025-06-09,2025-06-16,7410,Pensionsförsäkringspremier,,,Levfakt Avanza (61),,"1468,00",
D34,2025-06-05,2025-06-16,2440,Leverantörsskulder,,,Levfakt Scrive (60),,,"5250,00"
D34,2025-06-05,2025-06-16,2641,Debiterad ingående moms,,,Levfakt Scrive (60),,"1050,00",
D34,2025-06-05,2025-06-16,5420,Programvaror,,,Levfakt Scrive (60),,"4200,00",
D35,2025-06-26,2025-07-05,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (63),,,"4575,00"
D35,2025-06-26,2025-07-05,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (63),,"915,00",
D35,2025-06-26,2025-07-05,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (63),,"3660,00",
D36,2025-06-23,2025-07-05,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (62),,,"452,00"
D36,2025-06-23,2025-07-05,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (62),,"90,40",
D36,2025-06-23,2025-07-05,4000,Inköp av varor från Sverige,,,Levfakt Pokalhuset.se (62),,"361,60",
D37,2025-06-30,2025-07-05,2440,Leverantörsskulder,,,Levfakt Allegat (64),,,"4375,00"
D37,2025-06-30,2025-07-05,2641,Debiterad ingående moms,,,Levfakt Allegat (64),,"875,00",
D37,2025-06-30,2025-07-05,6530,Redovisningstjänster,,,Levfakt Allegat (64),,"3500,00",
D38,2025-07-02,2025-07-07,2440,Leverantörsskulder,,,Levfakt Brisket and friends AB (65),,,"32535,00"
D38,2025-07-02,2025-07-07,2641,Debiterad ingående moms,,,Levfakt Brisket and friends AB (65),,"3589,75",
D38,2025-07-02,2025-07-07,4000,Inköp av varor från Sverige,,,Levfakt Brisket and friends AB (65),,"28945,25",
D39,2025-07-06,2025-07-07,2440,Leverantörsskulder,,,Levfakt Systrarna Sisters AB (66),,,"4334,00"
D39,2025-07-06,2025-07-07,2641,Debiterad ingående moms,,,Levfakt Systrarna Sisters AB (66),,"464,40",
D39,2025-07-06,2025-07-07,4000,Inköp av varor från Sverige,,,Levfakt Systrarna Sisters AB (66),,"3869,60",
D40,2025-07-04,2025-07-07,2440,Leverantörsskulder,,,Levfakt Restaurang Rooftop AB (67),,,"20375,00"
D40,2025-07-04,2025-07-07,2641,Debiterad ingående moms,,,Levfakt Restaurang Rooftop AB (67),,"2508,04",
D40,2025-07-04,2025-07-07,4000,Inköp av varor från Sverige,,,Levfakt Restaurang Rooftop AB (67),,"17866,96",
D41,2025-07-10,2025-07-15,2440,Leverantörsskulder,,,Levfakt Aladdins Uthyrning AB (70),,,"4792,00"
D41,2025-07-10,2025-07-15,2641,Debiterad ingående moms,,,Levfakt Aladdins Uthyrning AB (70),,"958,39",
D41,2025-07-10,2025-07-15,4000,Inköp av varor från Sverige,,,Levfakt Aladdins Uthyrning AB (70),,"3833,61",
D42,2025-06-30,2025-07-15,2440,Leverantörsskulder,,,Levfakt Värfärden- kök och kaffe AB (68),,,"20050,00"
D42,2025-06-30,2025-07-15,2641,Debiterad ingående moms,,,Levfakt Värfärden- kök och kaffe AB (68),,"2148,21",
D42,2025-06-30,2025-07-15,4000,Inköp av varor från Sverige,,,Levfakt Värfärden- kök och kaffe AB (68),,"17901,79",
D43,2025-07-07,2025-07-15,2440,Leverantörsskulder,,,Levfakt Avanza (69),,,"1468,00"
D43,2025-07-07,2025-07-15,7410,Pensionsförsäkringspremier,,,Levfakt Avanza (69),,"1468,00",
D44,2025-07-10,2025-07-15,2440,Leverantörsskulder,,,Levfakt Polytope (71),,,"1250,00"
D44,2025-07-10,2025-07-15,2641,Debiterad ingående moms,,,Levfakt Polytope (71),,"250,00",
D44,2025-07-10,2025-07-15,5420,Programvaror,,,Levfakt Polytope (71),,"1000,00",
D45,2025-07-10,2025-07-15,2440,Leverantörsskulder,,,Levfakt Polytope (72),,,"1250,00"
D45,2025-07-10,2025-07-15,2641,Debiterad ingående moms,,,Levfakt Polytope (72),,"250,00",
D45,2025-07-10,2025-07-15,5420,Programvaror,,,Levfakt Polytope (72),,"1000,00",
D46,2025-08-03,2025-08-04,2440,Leverantörsskulder,,,Levfakt Pava Gruppen AB (74),,,"14577,00"
D46,2025-08-03,2025-08-04,2641,Debiterad ingående moms,,,Levfakt Pava Gruppen AB (74),,"1561,80",
D46,2025-08-03,2025-08-04,4000,Inköp av varor från Sverige,,,Levfakt Pava Gruppen AB (74),,"13015,20",
D47,2025-07-01,2025-08-04,2440,Leverantörsskulder,,,Levfakt Linköpings universitet (73),,,"9861,00"
D47,2025-07-01,2025-08-04,2641,Debiterad ingående moms,,,Levfakt Linköpings universitet (73),,"1972,25",
D47,2025-07-01,2025-08-04,4000,Inköp av varor från Sverige,,,Levfakt Linköpings universitet (73),,"7888,75",
D48,2025-08-06,2025-08-20,2440,Leverantörsskulder,,,Levfakt Avanza (75),,,"1468,00"
D48,2025-08-06,2025-08-20,7410,Pensionsförsäkringspremier,,,Levfakt Avanza (75),,"1468,00",
D49,2025-08-04,2025-08-20,2440,Leverantörsskulder,,,Levfakt Fortnox (76),,,"125,00"
D49,2025-08-04,2025-08-20,2641,Debiterad ingående moms,,,Levfakt Fortnox (76),,"25,00",
D49,2025-08-04,2025-08-20,5420,Programvaror,,,Levfakt Fortnox (76),,"100,00",
D50,2025-08-06,2025-08-20,2440,Leverantörsskulder,,,Levfakt Worknode (77),,,"9375,00"
D50,2025-08-06,2025-08-20,2641,Debiterad ingående moms,,,Levfakt Worknode (77),,"1875,00",
D50,2025-08-06,2025-08-20,4000,Inköp av varor från Sverige,,,Levfakt Worknode (77),,"7500,00",
D51,2025-08-18,2025-08-20,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (78),,,"452,00"
D51,2025-08-18,2025-08-20,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (78),,"90,40",
D51,2025-08-18,2025-08-20,4000,Inköp av varor från Sverige,,,Levfakt Pokalhuset.se (78),,"361,60",
D52,2025-08-18,2025-08-20,2440,Leverantörsskulder,,,Levfakt Systrarna Sisters AB (79),,,"34300,00"
D52,2025-08-18,2025-08-20,2641,Debiterad ingående moms,,,Levfakt Systrarna Sisters AB (79),,"3675,00",
D52,2025-08-18,2025-08-20,4000,Inköp av varor från Sverige,,,Levfakt Systrarna Sisters AB (79),,"30625,00",
D53,2025-07-25,2025-08-20,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (80),,,"733,00"
D53,2025-07-25,2025-08-20,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (80),,"146,60",
D53,2025-07-25,2025-08-20,4000,Inköp av varor från Sverige,,,Levfakt Pokalhuset.se (80),,"586,40",
D54,2025-08-13,2025-08-20,2440,Leverantörsskulder,,,Levfakt GG Event AB (81),,,"10312,00"
D54,2025-08-13,2025-08-20,2641,Debiterad ingående moms,,,Levfakt GG Event AB (81),,"2062,50",
D54,2025-08-13,2025-08-20,4000,Inköp av varor från Sverige,,,Levfakt GG Event AB (81),,"8249,50",
D55,2025-08-22,2025-08-25,2440,Leverantörsskulder,,,Levfakt Aladdins Uthyrning AB (82),,,"5108,00"
D55,2025-08-22,2025-08-25,2641,Debiterad ingående moms,,,Levfakt Aladdins Uthyrning AB (82),,"1021,57",
D55,2025-08-22,2025-08-25,4000,Inköp av varor från Sverige,,,Levfakt Aladdins Uthyrning AB (82),,"4086,43",
D56,2025-08-20,2025-08-25,2440,Leverantörsskulder,,,Levfakt Allegat (83),,,"4375,00"
D56,2025-08-20,2025-08-25,2641,Debiterad ingående moms,,,Levfakt Allegat (83),,"875,00",
D56,2025-08-20,2025-08-25,6530,Redovisningstjänster,,,Levfakt Allegat (83),,"3500,00",
D57,2025-08-14,2025-09-03,2440,Leverantörsskulder,,,Levfakt Alleneva Food AB (85),,,"23072,00"
D57,2025-08-14,2025-09-03,2641,Debiterad ingående moms,,,Levfakt Alleneva Food AB (85),,"2472,00",
D57,2025-08-14,2025-09-03,4000,Inköp av varor från Sverige,,,Levfakt Alleneva Food AB (85),,"20600,00",
D58,2025-08-31,2025-09-03,2440,Leverantörsskulder,,,Levfakt Linder Academy AB (88),,,"31250,00"
D58,2025-08-31,2025-09-03,2641,Debiterad ingående moms,,,Levfakt Linder Academy AB (88),,"6250,00",
D58,2025-08-31,2025-09-03,6550,Konsultarvoden,,,Levfakt Linder Academy AB (88),,"25000,00",
D59,2025-08-28,2025-09-03,2440,Leverantörsskulder,,,Levfakt GG Event AB (89),,,"3750,00"
D59,2025-08-28,2025-09-03,2641,Debiterad ingående moms,,,Levfakt GG Event AB (89),,"750,00",
D59,2025-08-28,2025-09-03,4000,Inköp av varor från Sverige,,,Levfakt GG Event AB (89),,"3000,00",
D60,2025-08-31,2025-09-03,2440,Leverantörsskulder,,,Levfakt Lange Sales AB (87),,,"31250,00"
D60,2025-08-31,2025-09-03,2641,Debiterad ingående moms,,,Levfakt Lange Sales AB (87),,"6250,00",
D60,2025-08-31,2025-09-03,6550,Konsultarvoden,,,Levfakt Lange Sales AB (87),,"25000,00",
D61,2025-08-27,2025-09-03,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (84),,,"8907,50"
D61,2025-08-27,2025-09-03,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (84),,"1781,50",
D61,2025-08-27,2025-09-03,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (84),,"7126,00",
D62,2025-08-31,2025-09-03,2440,Leverantörsskulder,,,Levfakt Systrarna Sisters AB (86),,,"38502,00"
D62,2025-08-31,2025-09-03,2641,Debiterad ingående moms,,,Levfakt Systrarna Sisters AB (86),,"4125,24",
D62,2025-08-31,2025-09-03,4000,Inköp av varor från Sverige,,,Levfakt Systrarna Sisters AB (86),,"34376,76",
D63,2025-09-08,2025-09-09,2440,Leverantörsskulder,,,Levfakt Avanza (90),,,"1468,00"
D63,2025-09-08,2025-09-09,7410,Pensionsförsäkringspremier,,,Levfakt Avanza (90),,"1468,00",
D64,2025-09-08,2025-09-09,2440,Leverantörsskulder,,,Levfakt Gerisale (91),,,"62500,00"
D64,2025-09-08,2025-09-09,2641,Debiterad ingående moms,,,Levfakt Gerisale (91),,"12500,00",
D64,2025-09-08,2025-09-09,6550,Konsultarvoden,,,Levfakt Gerisale (91),,"50000,00",
D65,2025-09-05,2025-09-09,2440,Leverantörsskulder,,,Levfakt Fortnox (92),,,"2419,00"
D65,2025-09-05,2025-09-09,2641,Debiterad ingående moms,,,Levfakt Fortnox (92),,"483,75",
D65,2025-09-05,2025-09-09,5420,Programvaror,,,Levfakt Fortnox (92),,"1935,25",
D66,2025-08-27,2025-09-15,2440,Leverantörsskulder,,,Levfakt Alleneva Food AB (93),,,"26320,00"
D66,2025-08-27,2025-09-15,2641,Debiterad ingående moms,,,Levfakt Alleneva Food AB (93),,"2820,00",
D66,2025-08-27,2025-09-15,4000,Inköp av varor från Sverige,,,Levfakt Alleneva Food AB (93),,"23500,00",
D67,2025-08-26,2025-09-15,2440,Leverantörsskulder,,,Levfakt SSE Business Lab AB (94),,,"20625,00"
D67,2025-08-26,2025-09-15,2641,Debiterad ingående moms,,,Levfakt SSE Business Lab AB (94),,"4125,00",
D67,2025-08-26,2025-09-15,4600,Legoarbeten och underentreprenader (gruppkonto),,,Levfakt SSE Business Lab AB (94),,"16500,00",
D68,2025-09-11,2025-09-15,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (95),,,"729,00"
D68,2025-09-11,2025-09-15,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (95),,"145,80",
D68,2025-09-11,2025-09-15,4000,Inköp av varor från Sverige,,,Levfakt Pokalhuset.se (95),,"583,20",
D69,2025-09-10,2025-09-15,2440,Leverantörsskulder,,,Levfakt Aladdins Uthyrning AB (96),,,"7075,00"
D69,2025-09-10,2025-09-15,2641,Debiterad ingående moms,,,Levfakt Aladdins Uthyrning AB (96),,"1415,09",
D69,2025-09-10,2025-09-15,4000,Inköp av varor från Sverige,,,Levfakt Aladdins Uthyrning AB (96),,"5659,91",
D70,2025-08-12,2025-09-17,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (97),,,"6825,00"
D70,2025-08-12,2025-09-17,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (97),,"1365,00",
D70,2025-08-12,2025-09-17,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (97),,"5460,00",
D71,2025-09-15,2025-09-17,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (99),,,"8952,50"
D71,2025-09-15,2025-09-17,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (99),,"1790,50",
D71,2025-09-15,2025-09-17,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (99),,"7162,00",
D72,2025-09-16,2025-09-17,2440,Leverantörsskulder,,,Levfakt Allegat (98),,,"4375,00"
D72,2025-09-16,2025-09-17,2641,Debiterad ingående moms,,,Levfakt Allegat (98),,"875,00",
D72,2025-09-16,2025-09-17,6530,Redovisningstjänster,,,Levfakt Allegat (98),,"3500,00",
D73,2025-09-19,2025-10-03,2440,Leverantörsskulder,,,Levfakt Systrarna Sisters AB (100),,,"10909,00"
D73,2025-09-19,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Systrarna Sisters AB (100),,"1168,80",
D73,2025-09-19,2025-10-03,4000,Inköp av varor från Sverige,,,Levfakt Systrarna Sisters AB (100),,"9740,20",
D74,2025-09-18,2025-10-03,2440,Leverantörsskulder,,,Levfakt Polytope (101),,,"1250,00"
D74,2025-09-18,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Polytope (101),,"250,00",
D74,2025-09-18,2025-10-03,5420,Programvaror,,,Levfakt Polytope (101),,"1000,00",
D75,2025-09-18,2025-10-03,2440,Leverantörsskulder,,,Levfakt Polytope (102),,,"1250,00"
D75,2025-09-18,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Polytope (102),,"250,00",
D75,2025-09-18,2025-10-03,5420,Programvaror,,,Levfakt Polytope (102),,"1000,00",
D76,2025-09-24,2025-10-03,2440,Leverantörsskulder,,,Levfakt Cugini AB (103),,,"15187,00"
D76,2025-09-24,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Cugini AB (103),,"1627,23",
D76,2025-09-24,2025-10-03,4000,Inköp av varor från Sverige,,,Levfakt Cugini AB (103),,"13559,77",
D77,2025-09-25,2025-10-03,2440,Leverantörsskulder,,,Levfakt Pava Gruppen AB (104),,,"15534,00"
D77,2025-09-25,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Pava Gruppen AB (104),,"1664,40",
D77,2025-09-25,2025-10-03,4000,Inköp av varor från Sverige,,,Levfakt Pava Gruppen AB (104),,"13869,60",
D78,2025-10-01,2025-10-03,2440,Leverantörsskulder,,,Levfakt Linköpings universitet (105),,,"89,00"
D78,2025-10-01,2025-10-03,8422,Dröjsmålsräntor för leverantörsskulder,,,Levfakt Linköpings universitet (105),,"89,00",
D79,2025-09-30,2025-10-03,2440,Leverantörsskulder,,,Levfakt GG Event AB (106),,,"7812,00"
D79,2025-09-30,2025-10-03,2641,Debiterad ingående moms,,,Levfakt GG Event AB (106),,"1562,50",
D79,2025-09-30,2025-10-03,4000,Inköp av varor från Sverige,,,Levfakt GG Event AB (106),,"6249,50",
D80,2025-09-30,2025-10-03,2440,Leverantörsskulder,,,Levfakt Lange Sales AB (107),,,"31250,00"
D80,2025-09-30,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Lange Sales AB (107),,"6250,00",
D80,2025-09-30,2025-10-03,6550,Konsultarvoden,,,Levfakt Lange Sales AB (107),,"25000,00",
D81,2025-09-29,2025-10-03,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (108),,,"7035,00"
D81,2025-09-29,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (108),,"1407,00",
D81,2025-09-29,2025-10-03,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (108),,"5628,00",
D82,2025-09-30,2025-10-03,2440,Leverantörsskulder,,,Levfakt Linder Academy AB (109),,,"31250,00"
D82,2025-09-30,2025-10-03,2641,Debiterad ingående moms,,,Levfakt Linder Academy AB (109),,"6250,00",
D82,2025-09-30,2025-10-03,6550,Konsultarvoden,,,Levfakt Linder Academy AB (109),,"25000,00",
D83,2025-10-03,2025-10-06,2440,Leverantörsskulder,,,Levfakt Polytope (110),,,"47250,00"
D83,2025-10-03,2025-10-06,2641,Debiterad ingående moms,,,Levfakt Polytope (110),,"9450,00",
D83,2025-10-03,2025-10-06,5420,Programvaror,,,Levfakt Polytope (110),,"1000,00",
D83,2025-10-03,2025-10-06,6550,Konsultarvoden,,,Levfakt Polytope (110),,"36800,00",
D84,2025-10-06,2025-10-18,2440,Leverantörsskulder,,,Levfakt Avanza (114),,,"1468,00"
D84,2025-10-06,2025-10-18,7410,Pensionsförsäkringspremier,,,Levfakt Avanza (114),,"1468,00",
